conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username;;;;;;;;
1909220939532808646,Mon Apr 07 17:01:33 +0000 2025,1807,@tanyarlfes @grok apakah jawaban prabowo nyambung dengan pertanyaan pertanyaan para jurnalis ini?,1909290460910408044,,tanyarlfes,in,,1,15,8,https://x.com/KautsarAkbar3/status/1909290460910408044,1442166724367818760,KautsarAkbar3;;;;;;;;
1909220939532808646,Mon Apr 07 13:26:42 +0000 2025,37352,@tanyarlfes cape gue liat dia ngomong kl emosi lg ga stabil mending nontonnya nanti aja pas udh tenang. gue spoilerin satu yg bikin emosi ditanya tanggapan soal demo dia jawab menurut anda itu demo pure atau dibayar? pantes ga presiden ngomong begitu? presiden dongo.,1909236393429397528,,tanyarlfes,in,,928,358,6569,https://x.com/rebahannojutsu/status/1909236393429397528,1743834119732424704,rebahannojutsu;;;;;;;;
1909220939532808646,Mon Apr 07 16:05:49 +0000 2025,7354,@tanyarlfes Fufufafa selalu bisa relate : https://t.co/7ueOhDhzwF,1909276436101566952,https://pbs.twimg.com/media/Gn8czPzbMAExvWg.jpg,tanyarlfes,in,,17,15,681,https://x.com/0xygenmagnesium/status/1909276436101566952,1896706567766261760,0xygenmagnesium;;;;;;;;
1909220939532808646,Mon Apr 07 16:55:15 +0000 2025,7146,@tanyarlfes Eh tapi nonton video pidato dia bareng petani ngomong 'percuma pintar gak jadi apa2 juga'. Bayangkan punya presiden ngomong kek gitu. Pantas rakyat dibodohkan kalo pinter gak bakalan milih Prabowo.,1909288877342572708,,tanyarlfes,in,Mars,23,11,732,https://x.com/dawgfromdahood/status/1909288877342572708,250137365,dawgfromdahood;;;;;;;;
1909220939532808646,Mon Apr 07 18:44:10 +0000 2025,5330,@tanyarlfes ternyata ada kesamaan prabowo dan bokap gapernah merasa ada yang salah di dirinya apa yang dia yakini dan apa yang keluar dari mulutnya dianggep kebenaran absolut ga ngebiarin ada ruang buat tumbuh dan berkembang tai nih modelan gini,1909316287513382996,,tanyarlfes,in,hatimu aowkwkw,90,64,741,https://x.com/akubukankecap/status/1909316287513382996,1203703588867854337,akubukankecap;;;;;;;;
1909220939532808646,Mon Apr 07 13:54:41 +0000 2025,5416,@tanyarlfes kynya beliau ini emg udh waktunya istirahat. udh susah diajak mikir berat or diskusi. apa mlh emg dari awal jg gabisa ya,1909243435435118640,,tanyarlfes,in,Greenland,13,24,226,https://x.com/dsat911/status/1909243435435118640,1448002891,dsat911;;;;;;;;
1909220939532808646,Mon Apr 07 17:10:34 +0000 2025,6261,@tanyarlfes I didn't vote for this fucking idiot. Big scum omon https://t.co/9ijptRfz5s,1909292730385416325,https://pbs.twimg.com/media/Gn8rnqHaoAApa0M.jpg,tanyarlfes,en,Turkey,10,5,1165,https://x.com/ultra_nopolice/status/1909292730385416325,1329016809404522498,ultra_nopolice;;;;;;;;
1909220939532808646,Mon Apr 07 17:43:13 +0000 2025,5333,@tanyarlfes https://t.co/ILWvs9GCQG,1909300948046168272,https://pbs.twimg.com/media/Gn8zGBLb0AAj1_L.jpg,tanyarlfes,qme,,53,18,729,https://x.com/MDE1203/status/1909300948046168272,1713878766026649600,MDE1203;;;;;;;;
1909220939532808646,Mon Apr 07 12:34:06 +0000 2025,6666,@tanyarlfes ekspresi yang mewakili saat menonton interview ini : https://t.co/dHQkmj8hE1,1909223153441833001,https://pbs.twimg.com/media/Gn7sVXXbYAAFYAd.jpg,tanyarlfes,in,아르비스,62,33,833,https://x.com/cherryse__/status/1909223153441833001,1496303220607819779,cherryse__;;;;;;;;
1909220939532808646,Mon Apr 07 15:52:35 +0000 2025,9033,@tanyarlfes https://t.co/3gZS1F03fc,1909273104700121406,https://pbs.twimg.com/media/Gn8ZxT3aQAA50cq.jpg,tanyarlfes,qme,,73,29,1099,https://x.com/Icel0vers/status/1909273104700121406,1557228512603676674,Icel0vers;;;;;;;;
"1909220939532808646,Mon Apr 07 15:11:48 +0000 2025,21508,@tanyarlfes https://t.co/3sq99tm5oo,1909262840277647760,https://pbs.twimg.com/media/Gn8Qb3bakAAfDRt.jpg,tanyarlfes,qme,""Eivissa, Spain"",273,135,3173,https://x.com/themariast/status/1909262840277647760,1489605528116666370,themariast";;;;;;;;
1909220939532808646,Mon Apr 07 17:55:16 +0000 2025,4643,@tanyarlfes Civil phobia beliau wkwkw Banyak yg sampai berdarah2 pas demo dan pure niatnya eh malah dituduh dibayar https://t.co/jdkWvLyfW8,1909303977789002101,https://pbs.twimg.com/amplify_video_thumb/1909265834045763584/img/2pWUemSjoA4BKTF0.jpg,tanyarlfes,in,Jpt,503,248,781,https://x.com/f12xos/status/1909303977789002101,1469438252,f12xos;;;;;;;;
1909220939532808646,Mon Apr 07 18:03:23 +0000 2025,3823,@tanyarlfes Pantesan bapak ini nyalonin berkali kali gagal terus. Aslinya tuhan udah ngasih isyarat kalo nih orang gak banget jadi presiden tapi rakyat indo yang tidak mengerti ,1909306022621274124,,tanyarlfes,in,Kwangya,24,32,381,https://x.com/gitasjoy/status/1909306022621274124,1703950334077661184,gitasjoy;;;;;;;;
1909220939532808646,Mon Apr 07 20:52:42 +0000 2025,1194,@tanyarlfes mau topik apapun template jawabannya sama https://t.co/uwUA12EzAY,1909348630299132201,https://pbs.twimg.com/media/Gn9edNcbwAQVZX-.png,tanyarlfes,in,Cimahi,6,5,145,https://x.com/cevymm/status/1909348630299132201,265156043,cevymm;;;;;;;;
1909220939532808646,Mon Apr 07 12:26:33 +0000 2025,5102,@tanyarlfes Interview settingan https://t.co/yYszyGqcOe,1909221256425054283,https://pbs.twimg.com/media/Gn7qkDSbYAAat9_.jpg,tanyarlfes,en,Indonesia,9,8,636,https://x.com/zfrakmal/status/1909221256425054283,1603751695829590016,zfrakmal;;;;;;;;
